qid,query
527564#0,巴勒斯坦的首都是哪里？
3416614#0,葡萄牙有哪些党派？
7754791#0,北美有哪些国家？
2937333#0,巴西有哪些邻国？
4044527#0,日本香川县面积多大？
232108#0,土耳其语有多少字母？
3163372#0,日本有哪些漫画杂志？
7310037#0,清文宗的年号是什么？
6466239#0,海葵有哪些种类？
1038821#0,《冰与火之歌》哪一年出版？
28051#0,世界最大的博物馆在哪一国家？
6195684#0,加拿大2016年有多少华人？
6279434#0,上海证交所于哪一年成立？
1741183#0,意大利的国歌是什么？
4121592#0,纸盒有哪些分类？
200384#0,荷兰的官方语言是什么？
6773555#0,H·P·洛夫克拉夫特哪一年出生？
3563207#0,是韩国男子团体SHINee属于哪一经纪公司？
1560125#0,青山公路全长多少？
7795522#0,美国职棒大联盟哪一年成立？
3913964#0,英国有多少座教堂？
4327006#0,南非国歌是什么？
6352788#0,香港房屋委员会哪一年成立？
2959739#0,日本现任天皇是谁？
907326#0,德安百货有多少分店？
5933686#0,蒸汽挖掘机的发明者是谁？
1124641#0,土耳其国歌是什么？
2904755#0,武仙座的面积多大？
1739385#0,化学渗透有哪些特征？
3421908#0,意大利有哪些银行？
115486#0,中国琵琶有哪些种类？
5276149#0,摩登家庭的导演是谁？
7565887#0,四川宜宾有多少家医院？
1015059#0,吉尔吉斯国歌是什么？
5247811#0,美国有哪些世界连锁餐厅？
487603#0,《伤寒论》作者是谁？
5276434#0,芝加哥市区面积多大？
3229122#0,塞尔维亚面积多大？
6382380#0,葡萄有哪些种类？
4673599#0,香港有哪些足球队？
1582515#0,印度有哪些政党？
764816#0,价键理论有哪些内容？
647210#0,尼加拉瓜面积多大？
536321#0,天津市有多少火车站？
306627#0,秘鲁海域面积多大？
185673#0,四元素说的发现者是谁？
5928327#0,象棋起源于哪里？
7500702#0,日本有哪些小说改的漫画？
2905433#0,英国上一任国王是谁？
2822016#0,菲律宾平均气温多少？
18691#0,电视剧《天龙八部》的导演是谁？
946092#0,日本料理有哪些种类？
5003231#0,曾志伟出演过哪些电影？
5963042#0,中国有哪些国家公园？
1878951#0,浙江省杭州市总面积多大？
4324645#0,玻利维亚平均海拔多少？
989189#0,冬青有哪些分类？
31257#0,唐高祖下一任皇帝是谁？
7164463#0,《电击HP》的出版公司是什么？
19006#0,气体有哪些物理性质？
3592424#0,东海大学哪一年创立？
478483#0,中国女性结婚年龄是多少？
6317075#0,徐汇区面积多大？
6641348#0,许嵩出过多少张专辑？
666973#0,催化剂有哪些种类？
1182424#0,朱德哪一年去世？
5787730#0,齐国的首都在哪里？
2850538#0,路易十四哪一年逝世？
7365739#0,西南政法大学哪一年建校？
3538707#0,两栖动物有哪些种类？
6063778#0,莫斯科有多少地铁站？
7472686#0,捷克共和国的国庆是哪一天
3629433#0,美国职棒大联盟用哪些左球手？
395828#0,《狮子王》哪一年上映？
5920953#0,JYP娱乐旗下有哪些艺人？
7576632#0,频闪灯有哪些功能？
3184904#0,金曲奖哪一年创办？
1829284#0,中国有哪些天文观测站？
3084373#0,美国哪一年独立？
7689678#0,湖南省内有哪些河流？
1245722#0,埃塞俄比亚的首都是哪里？
1134175#0,海南岛的面积是多大？
1398697#0,世界上第一部电话诞生于哪一年？
5412955#0,2020年谁当选了美国总统？
7162382#0,上海市有哪些著名医院？
5383790#0,爵士乐有什么特点？
337133#0,老挝首都是哪里？
733440#0,霍金于哪一年去世？
3243376#0,哥德巴赫猜想是什么？
4216509#0,陈冠希是谁？
1144667#0,神奈川县的人口是多少？
6031448#0,水木连续剧星期几播放？
1453139#0,保加利亚何时建国？
3139972#0,《岳阳楼记》的作者是谁？
5386749#0,艾薇儿拉维尼是哪国人？
1021814#0,孟加拉虎有哪些特征？
3955612#0,杜克大学的现任校长是谁？
98143#0,花木兰的故事是什么？
1671246#0,新竹清华大学的现任校长是谁？
6285818#0,遵义会议是哪一年召开的？
524973#0,南京条约的主要内容是什么？
7793170#0,柏林墙是哪一年拆除的？
1770875#0,菲律宾共和国的国歌是什么？
3677504#0,平行世界理论是什么？
172819#0,世界贸易组织的总部在哪里？
6317339#0,安眠药有哪些种类？
1100435#0,朝鲜文的使用者有多少？
3890048#0,美国有多少所军事大学？
7441617#0,法国共产党哪一年成立？
3919184#0,中非国家奥林匹克和体育委员会总部在哪里？
947543#0,台湾的基尼系数多少？
5183861#0,日本香川县面积多大？
90508#0,日本历史经历了哪些阶段？
3227781#0,哥伦比亚平均海拔多少？
7850019#0,林肯律师学院哪一年建校？
5536775#0,Mozilla基金会哪一年成立？
167182#0,西域有哪些文明？
631442#0,钢铁侠的扮演者实施？
1790767#0,丝绸之路哪一时期开拓？
498864#0,中国有多少地震带？
6980084#0,意大利有哪些服装品牌？
3949207#0,加拿大的首都位于哪里？
1631881#0,利比亚现在的领导人是谁？
182430#0,浙江省的省会是哪里？
1368494#0,细菌有哪些用途？
5511120#0,最早登上月球的人是谁？
3233485#0,中国最早的铁路是哪一条？
536479#0,恐龙灭绝的原因有哪些？
5053621#0,世界四大宗教是哪些？
5666608#0,乌克兰总人口多少？
4004859#0,英国的气候有哪些特点？
3370536#0,有机化合物有哪些特点？
3560131#0,美国的首都在哪里？
3042712#0,中国共产党第一次代表大会在哪里召开？
689987#0,基因分类有哪些？
6787251#0,美国首都在哪里？
5597511#0,中国有哪些剧场？
1295618#0,巴基斯坦的总人口多少？
1695559#0,波斯帝国有哪些代表文化？
562652#0,中国有哪些外籍足球员？
6318174#0,美国适用于哪种法律体系？
6125120#0,日本有哪些漫改电影？
7201844#0,浙江省省会在哪里？
5788717#0,《三国演义》的作者是谁？
6462426#0,文物有哪些分类？
897536#0,苏联解体为哪些国家？
1868367#0,中国最早的铁路线是哪一条？
1594996#0,狗不理包子是什么？
1917089#0,世界上最大的水库位于哪里？
1017632#0,美国空军有哪些战机？
2993682#0,加拿大大西洋四省是哪些？
7135727#0,新加披歌手林俊杰有哪些代表歌曲？
675619#0,广州市有哪些地标建筑？
6244436#0,美国有哪些著名轿车品牌？
6804239#0,DC有哪些知名的漫画作品？
5722902#0,中国的宗教政策是什么？
923570#0,九寨沟有哪些景点？
2686958#0,有哪些提高记忆力的方法？
5503481#0,湖南卫视有哪些知名综艺？
4888957#0,台湾有哪些跨国公司？
4053938#0,台湾盛产哪些水果？
541005#0,爬行动物有哪些主要特征？
7784734#0,有机化合物有什么特点？
3672950#0,世界上盛产石油的国家有哪些？
2848474#0,捷克的人口有多少？
3173151#0,台湾有哪些剧院？
6745931#0,加拿大有哪些邻国？
5509540#0,荷兰有哪些天文学家？
5054916#0,燃油有哪些分类？
6515801#0,世界上有哪些发展中国家？
7335541#0,美国现任总统是谁？
5276085#0,金陵是哪个城市的旧称？
4529303#0,中国有哪些船公司？
1738124#0,美国的金融中心在哪里？
6905248#0,四川省有哪些美食？
5369472#0,NBA有哪些球队？
7203005#0,有哪些西班牙语国家？
1094468#0,美国有哪些知名电视剧？
277844#0,世界四大宗教是哪些？
2764852#0,安徽省有哪些美食？
6937902#0,巴西位于哪一大洲？
970029#0,台湾有哪些渔港？
3772532#0,TVB有哪些经典电视剧？
287627#0,日本有哪些知名偶像团体？
35737#0,希腊神话的十二主神有谁？
7606313#0,NBA有哪些中国球员？
2882599#0,十二星座有哪些？
6533342#0,法国国旗有哪几种颜色？
586967#0,捷克位于哪一大洲？
691525#0,昆虫有多少种类？
7483291#0,核糖体有哪些组成部分？
1106821#0,台湾四小天王有谁？
7688396#0,陕西有哪些美食？
5160653#0,蜘蛛有哪些形态特征？
2837797#0,艺术风格有哪些类型？
1839603#0,高雄有哪些大学？
1762098#0,台湾有哪些港口？
7424649#0,2020年羽毛球赛事女子单打冠军是谁？
5712#0,中国第一艘载人航空飞船是什么？
1624958#0,香港有哪些剧院？
2883325#0,澳大利亚有哪些动物？
1021787#0,中国一级保护动物有哪些？
6977654#0,中国电影《归来》的导演是谁？
7272397#0,香港有哪些小吃？
703616#0,《再见二丁目》的演唱歌手是谁？
7217328#0,英国有哪些报刊？
320715#0,鲸鱼座有哪些邻接星座？
293139#0,香港经济支柱产业是什么？
6901883#0,北海道旅游景点？
7299834#0,美国有哪些角色扮演游戏？
4021765#0,鹦鹉有哪些生活习性？
7794#0,土耳其现任总统是谁？
6145541#0,德意志帝国所属哪一大洲？
161104#0,德国的国旗有哪几种颜色？
1772958#0,日本平安年代有哪些事件？
3128789#0,苹果公司现任CEO是谁？
3197918#0,荷兰的首都在哪里？
3943206#0,世界上最高的山峰在哪里？
6599118#0,美国首都是哪里？
3793893#0,台湾有哪些大学？
7317996#0,蒸汽船是谁发明的？
3524346#0,瑞士有哪些国际品牌？
3534377#0,浙江有哪些旅游景点？
